,0
0,587202560
1,773718019
2,578682884
3,675282949
4,205783046
5,68157447
6,321912843
7,330956811
8,540803085
9,268173329
10,509870098
11,11010067
12,514850838
13,289144855
14,291110935
15,295043097
16,415498265
17,50855962
18,185860121
19,275251231
20,35389475
21,142868526
22,205914160
23,297271345
24,449708082
25,729546803
26,32768055
27,261881916
28,17301565
29,331350080
30,248381506
31,125173827
32,442892356
33,63832132
34,386007109
35,131858500
36,138018888
37,104595529
38,16646218
39,627703883
40,344588365
41,12320846
42,5767247
43,254804048
44,483524688
45,65405010
46,271974483
47,57147476
48,20316244
49,170262614
50,602144855
51,167116888
52,4718681
53,691273814
54,255721566
55,35520606
56,304087135
57,143392865
58,207880290
59,10616930
60,334626917
61,444858472
62,22413418
63,167379052
64,186384493
65,555221105
66,188219510
67,250085502
68,34865280
69,302121091
70,77725828
71,430309512
72,390725772
73,259391629
74,178782351
75,377225363
76,256639127
77,154140824
78,38535322
79,287834267
80,60424348
81,136052905
82,451281071
83,7078065
84,166461618
85,21889204
86,186253494
87,64356534
88,609747133
89,318767299
90,39452868
91,9306308
92,156500166
93,284164295
94,88867015
95,51380423
96,7995590
97,477626575
98,271974607
99,483524819
100,100663508
101,217710805
102,5767382
103,567673047
104,5112027
105,384696541
106,506331363
107,353370341
108,99221733
109,352190695
110,245498088
111,293077225
112,36700394
113,613679337
114,383385835
115,145883374
116,87163120
117,439746801
118,216793330
119,141689080
120,191889656
121,428343544
122,4456699
123,328466684
124,114688256
125,66191618
126,420872451
127,668729606
128,570425611
129,384827660
130,74449167
131,503578906
132,13762844
133,56361246
134,377356575
135,29229345
136,122552620
137,559415597
138,731513135
139,493486384
140,173015345
141,100663602
142,89915699
143,706871604
144,211550517
145,71303478
146,514326837
147,52953400
148,269353279
149,157942082
150,319422794
151,505282891
152,76939597
153,211026253
154,41812303
155,26607953
156,360579410
157,684327250
158,226885972
159,2228562
160,21365077
161,311034199
162,238551385
163,320602458
164,54657371
165,239206751
166,86901089
167,45351271
168,14680425
169,127664489
170,504234348
171,250085742
172,78250352
173,136446323
174,118620535
175,565707128
176,203555192
177,173932931
178,143524228
179,178782597
180,311165319
181,141033865
182,343015820
183,12714380
184,234881425
185,488898962
186,217579923
187,702153114
188,138674586
189,658243994
190,467009950
191,154403231
192,249037215
193,3146146
194,327287210
195,91881901
196,720241073
197,347341236
198,119407028
199,509215156
200,71958967
201,99746231
202,31457722
203,247726524
204,212074940
205,48366017
206,244187586
207,140902851
208,18874820
209,463077829
210,150340037
211,440009159
212,292422090
213,261489101
214,73269711
215,551420369
216,152043990
217,335675863
218,27001304
219,19661271
220,182452701
221,205783517
222,168428001
223,123994599
224,199098855
225,551158247
226,305922539
227,337510892
228,21496302
229,18743790
230,547881456
231,231473649
232,179700210
233,327025140
234,542769654
235,446431737
236,109838844
237,20447742
238,141296126
239,137232896
240,127926784
241,259654144
242,103416325
243,390464007
244,454427143
245,48890379
246,742261259
247,95683087
248,413794835
249,64225813
250,359662103
251,240910875
252,299368993
253,227672611
254,76677669
255,505938470
256,2753066
257,226230827
258,274989613
259,661127726
260,6029871
261,1311282
262,302776883
263,133038644
264,33555004
265,135529021
266,622985792
267,163185216
268,138805826
269,486408768
270,292422210
271,142213700
272,138543686
273,327025222
274,101581385
275,629539402
276,174326347
277,7078473
278,618398281
279,30409292
280,5243472
281,38797908
282,288096852
283,159777366
284,174064215
285,379060821
286,154796635
287,310510173
288,543556190
289,285999709
290,28050016
291,373555809
292,345768553
293,13238895
294,476185200
295,90833521
296,29622896
297,314835571
298,122028662
299,352322166
300,316408442
301,171573883
302,75498109
303,462553727
304,516293248
305,575013506
306,340918915
307,251789959
308,145752712
309,135004809
310,619053707
311,19661451
312,196346508
313,94241424
314,47448722
315,237503123
316,182059671
317,68813466
318,12976795
319,154534557
320,17040031
321,98960035
322,731513514
323,200934059
324,335413931
325,10224305
326,172753587
327,141165238
328,68551357
329,454427326
330,25035455
331,451150527
332,31326914
333,145097411
334,175375043
335,307102406
336,412746441
337,439222987
338,224133836
339,138281678
340,268829390
341,527041231
342,467272403
343,19661524
344,76415699
345,470024917
346,272892630
347,64881368
348,58327769
349,651690715
350,354943708
351,529007328
352,366609126
353,320733929
354,78381804
355,120586990
356,225444593
357,11535090
358,37749495
359,279446264
360,438829821
361,443155201
362,112984834
363,287310595
364,27919109
365,339477254
366,138019589
367,15991560
368,12321545
369,452068108
370,316146446
371,122290959
372,523633423
373,161743633
374,150602516
375,204210969
376,117965599
377,349176609
378,68682530
379,319423266
380,237241125
381,614335270
382,181666600
383,343409449
384,302252843
385,558760753
386,22414130
387,4064050
388,81789749
389,314049334
390,603325239
391,214827831
392,13501243
393,472515388
394,219808573
395,204342078
396,140510025
397,198312777
398,16515915
399,653919052
400,189137742
401,86639441
402,343540562
403,312476502
404,215221079
405,186647383
406,282067803
407,4064092
408,64881503
409,134087520
410,49415009
411,270926690
412,456917859
413,136315747
414,275776357
415,7471970
416,78250848
417,224920424
418,79692650
419,309855085
420,10093421
421,221643634
422,405013363
423,390595447
424,86770555
425,11928446
426,94372736
427,175768448
428,11797378
429,238289795
430,169083780
431,288752520
432,334758793
433,419300234
434,114295692
435,559154067
436,389677973
437,9307031
438,362152857
439,10748826
440,255984541
441,10879902
442,97125282
443,21234596
444,124650404
445,34079654
446,10093477
447,752354213
448,202769321
449,671744938
450,28050345
451,81265573
452,246023086
453,595592111
454,328336304
455,70386610
456,289014717
457,213255103
458,265946049
459,198706115
460,510788553
461,280495049
462,227804107
463,31196108
464,42861515
465,711459790
466,65799119
467,114688969
468,277480405
469,496370645
470,120980438
471,303039448
472,134218714
473,66978778
474,221381596
475,138019807
476,225313762
477,94766050
478,602538981
479,317850598
480,649231565
481,213517292
482,92013550
483,323093486
484,357565424
485,292291568
486,2229234
487,638714869
488,213124092
489,251921407
490,297403393
491,52954116
492,497681412
493,302253064
494,370803721
495,387056651
496,450495500
497,12715022
